,date,days_since_start,cases,cases_increase,7_day_cases,14_day_cases,42_day_cases,cases_pct_inc,deaths,deaths_increase,deaths_pct_inc,7_day_deaths,42_day_deaths,14_day_deaths
125,2020-05-25,126,1670571,19100,22139.714285714286,22580.14285714286,25870.309523809523,1.16,98190,510,0.52,1110.857142857143,1704.2142857142858,1245.857142857143
126,2020-05-26,127,1689467,18896,21842.428571428572,22337.0,25684.714285714286,1.13,98937,747,0.76,1000.4285714285714,1657.595238095238,1181.2142857142858
127,2020-05-27,128,1708211,18744,21224.428571428572,22165.5,25415.928571428572,1.11,100422,1485,1.5,1001.5714285714286,1627.4285714285713,1161.0
128,2020-05-28,129,1730723,22512,20764.285714285714,21847.64285714286,25199.238095238095,1.32,101622,1200,1.19,985.7142857142857,1600.0714285714287,1122.5714285714287
129,2020-05-29,130,1755271,24548,20871.285714285714,21727.0,25033.5,1.42,102812,1190,1.17,971.7142857142857,1573.904761904762,1093.7857142857142
130,2020-05-30,131,1778668,23397,21032.571428571428,21708.285714285714,24914.428571428572,1.33,103775,963,0.94,959.2857142857143,1550.3809523809523,1075.0714285714287
131,2020-05-31,132,1799302,20634,21118.714285714286,21824.0,24802.52380952381,1.16,104379,604,0.58,957.0,1528.5714285714287,1057.9285714285713
132,2020-06-01,133,1821199,21897,21518.285714285714,21829.0,24671.619047619046,1.22,105113,734,0.7,989.0,1502.3095238095239,1049.9285714285713
133,2020-06-02,134,1841990,20791,21789.0,21815.714285714286,24559.166666666668,1.14,106195,1082,1.03,1036.857142857143,1464.452380952381,1018.6428571428571
134,2020-06-03,135,1861977,19987,21966.571428571428,21595.5,24348.595238095237,1.09,107184,989,0.93,966.0,1431.547619047619,983.7857142857143
135,2020-06-04,136,1883593,21616,21838.571428571428,21301.428571428572,24059.071428571428,1.16,108192,1008,0.94,938.5714285714286,1403.904761904762,962.1428571428571
136,2020-06-05,137,1912302,28709,22433.0,21652.14285714286,23867.833333333332,1.52,109304,1112,1.03,927.4285714285714,1379.6190476190477,949.5714285714286
137,2020-06-06,138,1934818,22516,22307.14285714286,21669.85714285714,23584.690476190477,1.18,110032,728,0.67,893.8571428571429,1350.1190476190477,926.5714285714286
138,2020-06-07,139,1953434,18616,22018.85714285714,21568.785714285714,23391.380952380954,0.96,110422,390,0.35,863.2857142857143,1329.5714285714287,910.1428571428571
139,2020-06-08,140,1971641,18207,21491.714285714286,21505.0,23272.571428571428,0.93,111144,722,0.65,861.5714285714286,1312.4285714285713,925.2857142857143
140,2020-06-09,141,1990446,18805,21208.0,21498.5,23133.380952380954,0.95,112174,1030,0.93,854.1428571428571,1279.952380952381,945.5
141,2020-06-10,142,2013298,22852,21617.285714285714,21791.928571428572,23045.214285714286,1.15,113103,929,0.83,845.5714285714286,1242.2142857142858,905.7857142857143
142,2020-06-11,143,2036500,23202,21843.85714285714,21841.214285714286,22874.85714285714,1.15,113980,877,0.78,826.8571428571429,1210.4761904761904,882.7142857142857
143,2020-06-12,144,2061993,25493,21384.428571428572,21908.714285714286,22673.02380952381,1.25,114759,779,0.68,779.2857142857143,1187.0714285714287,853.3571428571429
144,2020-06-13,145,2087327,25334,21787.0,22047.071428571428,22574.45238095238,1.23,115451,692,0.6,774.1428571428571,1165.857142857143,834.0
145,2020-06-14,146,2106457,19130,21860.428571428572,21939.64285714286,22407.54761904762,0.92,115768,317,0.27,763.7142857142857,1141.7142857142858,813.5
